Nombre,Tipo,Piezas,Precio
Arrolladitos amarillos,Individuales,5,50
Arrolladitos amarillos 25pz,Encargo,25,220
Arrolladitos blancos,Bocadillos,5,60
Arrolladitos blancos 25pz,Encargo,25,220
Arrolladitos de pate,Encargo,25,265
Besitos,Individuales,1,10
Bizcocho ingles,Panaderia,1,180
Bocadillos dulces,Encargo,25,220
Bocadillos mixtos,Encargo,25,265
Bocadillos mixtos grande,Encargo,50,500
Bolitas de queso,Encargo,25,250
Bolitas de queso ind,Individuales,1,12
Boxito chocolate,Bebidas frías,1,25
Brownies,Individuales,1,12
Cafe americano 230ml,Bebidas calientes,1,25
Cafe capuccino 240ml,Bebidas calientes,1,35
Cajeta 3 leches 15p,Pasteles,1,250
Cajeta 3 leches 20p,Pasteles,1,370
Cajeta 3 leches 6p (mini),Pasteles,1,150
Cebada,Bebidas frías,1,20
Cheescake americano,Cheescake,1,310
Cheescake cajeta,Cheescake,1,320
Cheescake de la abuela,Cheescake,1,290
Cheescake marmoleado,Cheescake,1,300
Chocolate helado amargo 15p,Pasteles,1,220
Chocolate helado amargo 20p,Pasteles,1,330
Chocolate helado amargo 6p (mini),Pasteles,1,130
Copita nevada,Individuales,1,35
Crema de coco 15p,Pasteles,1,240
Crema de coco 20p,Pasteles,1,320
Cremita española,Individuales,1,35
Cremoso chocolate dulce 15p,Pasteles,1,230
Cremoso chocolate dulce 20p,Pasteles,1,320
Cupcake brioche,Individuales,1,20
Cupcake brioche nutella,Individuales,1,20
Cupcake brioche queso de bola,Individuales,1,25
Decoración,Extras,1,20
Fresa 15p,Pasteles,1,280
Fresa 20p,Pasteles,1,380
Fudge 20p,Pasteles,1,360
Fudge 6p,Pasteles,1,170
Fudge marshmallow 15p,Pasteles,1,240
Fudge marshmallow 20p,Pasteles,1,370
Gelatina mosaico,Encargo,1,170
Gelatina mosaico vasito,Individuales,1,32
Globo,Velas,1,35
Glorias danesas,Encargo,25,220
Glorias de la casa,Individuales,5,50
Glorias de la casa 25pz,Encargo,25,250
Happy Birthday,Velas,1,30
Hojaldra,Individuales,1,12
