Nombre,Piezas,Tipo Tienda,Precio Tienda,Tipo Rappi,Precio Rappi
Arrolladitos amarillos,5,Individuales,50,Bocadillos rappi,55.0
Arrolladitos amarillos 25pz,25,Encargo,220,,
Arrolladitos blancos,5,Bocadillos,60,Bocadillos rappi,65.0
Arrolladitos blancos 25pz,25,Encargo,220,,
Arrolladitos de pate,25,Encargo,265,,
Besitos,1,Individuales,10,,
Bizcocho ingles,1,Panaderia,180,Panaderia rappi,190.0
Bocadillos dulces,25,Encargo,220,,
Bocadillos mixtos,25,Encargo,265,,
Bocadillos mixtos grande,50,Encargo,500,,
Bolitas de queso,25,Encargo,250,,
Bolitas de queso ind,1,Individuales,12,,
Boxito chocolate,1,Bebidas frías,25,,
Brownies,1,Individuales,12,,
Cafe americano 230ml,1,Bebidas calientes,25,,
Cafe capuccino 240ml,1,Bebidas calientes,35,,
Cajeta 3 leches 15p,1,Pasteles,250,Pasteles rappi,260.0
Cajeta 3 leches 20p,1,Pasteles,370,,
Cajeta 3 leches 6p (mini),1,Pasteles,150,,
Cebada,1,Bebidas frías,20,Bebidas rappi,25.0
Cheescake americano,1,Cheescake,310,Cheescake rappi,320.0
Cheescake cajeta,1,Cheescake,320,Cheescake rappi,330.0
Cheescake de la abuela,1,Cheescake,290,Cheescake rappi,300.0
Cheescake marmoleado,1,Cheescake,300,Cheescake rappi,310.0
Chocolate helado amargo 15p,1,Pasteles,220,Pasteles rappi,230.0
Chocolate helado amargo 20p,1,Pasteles,330,,
Chocolate helado amargo 6p (mini),1,Pasteles,130,,
Copita nevada,1,Individuales,35,,
Crema de coco 15p,1,Pasteles,240,Pasteles rappi,250.0
Crema de coco 20p,1,Pasteles,320,,
Cremita española,1,Individuales,35,,
Cremoso chocolate dulce 15p,1,Pasteles,230,Pasteles rappi,240.0
Cremoso chocolate dulce 20p,1,Pasteles,320,,
Cupcake brioche,1,Individuales,20,,
Cupcake brioche nutella,1,Individuales,20,,
Cupcake brioche queso de bola,1,Individuales,25,,
Decoración,1,Extras,20,,
Fresa 15p,1,Pasteles,280,Pasteles rappi,290.0
Fresa 20p,1,Pasteles,380,,
Fudge 20p,1,Pasteles,360,Pasteles rappi,370.0
Fudge 6p,1,Pasteles,170,,
Fudge marshmallow 15p,1,Pasteles,240,Pasteles rappi,250.0
Fudge marshmallow 20p,1,Pasteles,370,,
Gelatina mosaico,1,Encargo,170,,
Gelatina mosaico vasito,1,Individuales,32,,
Globo,1,Velas,35,,
Glorias danesas,25,Encargo,220,,
Glorias de la casa,5,Individuales,50,Bocadillos rappi,55.0
Glorias de la casa 25pz,25,Encargo,250,,
Happy Birthday,1,Velas,30,,
Hojaldra,1,Individuales,12,,
Hojaldra danesa,20,Encargo ,280,,
Hojaldritas,20,Encargo,220,,
Marquesita 15p,1,Pasteles,320,,
Marquesita 20p,1,Pasteles,400,,
Marquesita 6p (mini),1,Pasteles,140,,
Medio sandwichon,1,Bocadillos,195,Bocadillos rappi,205.0
Merenguitos,1,Individuales,10,,
Mini pan de muerto,1,Temporada,15,Temporada rappi,25.0
Mini pan de muerto nutella,1,Temporada,25,Temporada rappi,30.0
Mini pan de muerto queso crema,1,Temporada,25,Temporada rappi,30.0
Minipay manzana (rebanada),1,Pays,60,,
Minipay nuez (rebanada),1,Pays,60,,
Negra,1,Bebidas frías,20,Bebidas rappi,25.0
Pan Zanahoria (Rosca) 20p,1,Pasteles,250,Pasteles rappi,260.0
Pan de muerto grande,1,Temporada,150,,
Pan de muerto nutella grande,1,Temporada,170,,
Pan de muerto queso crema grande,1,Temporada,170,,
Pan marmoleado,1,Encargo,190,,
Pan queso de bola,1,Panaderia,230,Panaderia rappi,240.0
Paquete besitos,12,Paquetes,100,,
Paquete bolitas queso,10,Paquetes,80,Bocadillos rappi,85.0
Paquete bolitas queso de bola,5,Paquetes,70,Bocadillos rappi,75.0
Paquete brownies,8,Paquetes,80,Bocadillos rappi,85.0
Paquete cheescake brownie chocolate,6,Paquetes,130,Panaderia rappi,140.0
Paquete cheescake brownie dulce de leche,6,Paquetes,130,Panaderia rappi,140.0
Paquete cupcake brioche,6,Paquetes,100,Panaderia rappi,110.0
Paquete cupcake brioche nutella,6,Paquetes,100,Panaderia rappi,110.0
Paquete cupcake queso de bola,6,Paquetes,120,Panaderia rappi,130.0
Paquete cupcakes surtido brioche,6,Paquetes,130,Bocadillos rappi,140.0
Paquete hojaldra 10,10,Bocadillos,110,Bocadillos rappi,120.0
Paquete hojaldra 20,20,Encargo,220,,
Paquete hojaldra danesa,1,Encargo,54,,
Paquete minipan de muerto,6,Temporada,80,,
Paquete minipan de muerto nutella,6,Temporada,100,,
Paquete minipan de muerto queso crema,6,Temporada,100,Temporada rappi,100.0
Paquete minipan de muerto surtido,6,Temporada,110,,
Paquete orejitas,22,Paquetes,65,Panaderia rappi,70.0
Paquete roles canela,8,Paquetes,85,Bocadillos rappi,90.0
Paquete trenzas suizas,3,Paquetes,70,Panaderia rappi,75.0
Pay coco,1,Pays,200,Pays rappi,210.0
Pay guayaba con queso,1,Pays,190,Pays rappi,200.0
Pay limon,1,Pays,190,Pays rappi,200.0
Pay limon mediano,1,Pays,150,,
Pay manzana,1,Pays,225,Pays rappi,235.0
Pay manzana sin azucar,1,Pays,250,,
Pay nuez,1,Encargo,190,,
Pay queso,1,Encargo,290,,
Polvorones cacahuate,1,Individuales,10,,
Polvorones cacahuate 3 pax,3,Individuales,30,,
Queso de bola 15p,1,Pasteles,300,Pasteles rappi,310.0
Queso de bola 20p,1,Pasteles,410,,
Queso napolitano,1,Encargo,170,,
Rebanada cajeta con tres leches,1,Pasteles,55,Rebanadas rappi,60.0
Rebanada cheescake americano,1,Cheescake,50,Rebanadas rappi,55.0
Rebanada cheescake cajeta,1,Cheescake,60,Rebanadas rappi,65.0
Rebanada cheescake de la abuela,1,Cheescake,50,Rebanadas rappi,55.0
Rebanada cheescake marmoleado,1,Cheescake,60,Rebanadas rappi,65.0
Rebanada de chocolate helado,1,Pasteles,50,Rebanadas rappi,55.0
Rebanada de crema de coco,1,Pasteles,50,Rebanadas rappi,55.0
Rebanada de cremoso chocolate,1,Pasteles,45,Rebanadas rappi,50.0
Rebanada de fresa,1,Pasteles,55,Rebanadas rappi,60.0
Rebanada de fudge marshmallow,1,Pasteles,50,Rebanadas rappi,55.0
Rebanada de fugde,1,Pasteles,50,Rebanadas rappi,55.0
Rebanada de red velvet,1,Pasteles,70,,
Rebanada de sanwichon,1,Individuales,45,,
Rebanada de snickers,1,Pasteles,50,,
Rebanada marquesita,1,Pasteles,55,Rebanadas rappi,60.0
Rebanada pan queso de bola,1,Panaderia,50,Rebanadas rappi,55.0
Rebanada pastel zanahoria,1,Individuales,60,Rebanadas rappi,65.0
Rebanada pay de coco,1,Pays,45,Rebanadas rappi,50.0
Rebanada pay guayaba,1,Pays,50,,
Rebanada pay queso,1,Pays,45,Rebanadas rappi,50.0
Rebanada queso de bola,1,Pasteles,55,Rebanadas rappi,60.0
Rebanada queso napolitano,1,Individuales,55,,
Rebanada tres leches,1,Pasteles,45,Rebanadas rappi,50.0
Red velvet 20p,1,Pasteles,450,,
Rosca brioche,1,Panaderia,180,Panaderia rappi,190.0
Rosca brioche nutella,1,Encargo,180,,
Rosca brioche personalizada,1,Encargo ,200,,
Salsa Macha,1,Extras,80,,
Sandwichon,1,Bocadillos,330,Bocadillos rappi,340.0
Sandwichon hawaiano,1,Encargo,390,,
Snickers 20p,1,Pasteles,390,,
Snickers 6p (mini),1,Pasteles,150,,
Tres leches 15p,1,Pasteles,225,Pasteles rappi,235.0
Tres leches 20p,1,Pasteles,325,,
Tres leches 6p (mini),1,Pasteles,120,,
Vela número,1,Velas,15,,
Velas mágicas,1,Velas,40,,
Velas pasteleras,1,Velas,30,,
Yucapay,1,Pays,195,Pays rappi,205.0
Zanahoria 20p,1,Pasteles,325,,
