Nombre	Tipo	Piezas	Precio
Arrolladitos amarillos	Individuales	5	50
Arrolladitos amarillos 25pz	Encargo	25	220
Arrolladitos amarillos rappi	Bocadillos rappi	5	55
Arrolladitos blancos	Bocadillos	5	60
Arrolladitos blancos 25pz	Encargo	25	220
Arrolladitos blancos rappi	Bocadillos rappi	5	65
Arrolladitos de pate	Encargo	25	265
Besitos	Individuales	1	10
Bizcocho ingles	Panaderia	1	180
Bizcocho ingles rappi	Panaderia rappi	1	190
Bocadillos dulces	Encargo	25	220
Bocadillos mixtos	Encargo	25	265
Bocadillos mixtos grande	Encargo	50	500
Bolitas de queso	Encargo	25	250
Bolitas de queso ind	Individuales	1	12
Boxito chocolate	Bebidas frías	1	25
Brownies	Individuales	1	12
Cafe americano 230ml	Bebidas calientes	1	25
Cafe capuccino 240ml	Bebidas calientes	1	35
Cajeta 3 leches 15p	Pasteles	1	250
Cajeta 3 leches 15p rappi	Pasteles rappi	1	260
Cajeta 3 leches 20p	Pasteles	1	370
Cajeta 3 leches 6p (mini)	Pasteles	1	150
Cebada	Bebidas frías	1	20
Cebada rappi	Bebidas rappi	1	25
Cheescake americano	Cheescake	1	310
Cheescake americano rappi	Cheescake rappi	1	320
Cheescake cajeta	Cheescake	1	320
Cheescake cajeta rappi	Cheescake rappi	1	330
Cheescake de la abuela	Cheescake	1	290
Cheescake de la abuela rappi	Cheescake rappi	1	300
Cheescake marmoleado	Cheescake	1	300
Cheescake marmoleado rappi	Cheescake rappi	1	310
Chocolate helado amargo 15p	Pasteles	1	220
Chocolate helado amargo 15p rappi	Pasteles rappi	1	230
Chocolate helado amargo 20p	Pasteles	1	330
Chocolate helado amargo 6p (mini)	Pasteles	1	130
Copita nevada	Individuales	1	35
Crema de coco 15p	Pasteles	1	240
Crema de coco 15p rappi	Pasteles rappi	1	250
Crema de coco 20p	Pasteles	1	320
Cremita española	Individuales	1	35
Cremoso chocolate dulce 15p	Pasteles	1	230
Cremoso chocolate dulce 15p rappi	Pasteles rappi	1	240
Cremoso chocolate dulce 20p	Pasteles	1	320
