Location,Cases,Deaths
World,593274654,6445398
European Union,162513507,1130574
United States,93278036,1039026
India,44298864,527206
France,34338121,153404
Brazil,34223207,682010
Germany,31725160,146214
United Kingdom,23549842,187215
South Korea,21861296,25813
Italy,21554626,174300
Russia,18688416,375532
Turkey,16671848,100400
Japan,16192610,35998
Spain,13306301,111906
Vietnam,11373276,43103
Australia,9870588,13153
Argentina,9633732,129566
Netherlands,8380856,22648
Iran,7493317,143160
Mexico,6949653,328871
Indonesia,6297484,157296
Colombia,6286392,141287
Poland,6128006,116798
Portugal,5385702,24762
Ukraine,5306219,116511
Taiwan,4952570,9506
Austria,4885051,20512
Malaysia,4744929,36117
Greece,4654737,32028
Thailand,4626057,31915
Israel,4619552,11524
Belgium,4460582,32410
Chile,4399408,60036
Canada,4151317,43539
Peru,4037977,215088
Czech Republic,4020351,40687
Switzerland,4012610,13951
South Africa,4008988,102066
Philippines,3840943,61173
Denmark,3259684,6833
Romania,3170726,66417
Slovakia,2580748,20236
Sweden,2551996,19528
Iraq,2454213,25338
Serbia,2225382,16491
Hungary,2021648,47083
Bangladesh,2009434,29314
Singapore,1805698,1567
Jordan,1726717,14095
Georgia,1710749,16877
New Zealand,1705597,1807
Republic of Ireland,1653576,7782
Pakistan,1564809,30544
Kazakhstan,1469601,19030
Norway,1458603,3890
Hong Kong,1432837,9584
Morocco,1263700,16269
Finland,1238998,5350
Bulgaria,1230822,37517
Lithuania,1203644,9250
Croatia,1201743,16528
Lebanon,1200111,10589
Tunisia,1141334,29202
Cuba,1109649,8529
Slovenia,1107198,6753
Bolivia,1088291,22155
Guatemala,1077836,19261
Costa Rica,1069162,8800
United Arab Emirates,1007039,2340
Nepal,994389,11990
Belarus,994037,7118
Ecuador,983615,35811
Uruguay,975264,7429
Mongolia,972443,2124
Panama,966779,8444
China,929839,5226
Latvia,887046,5918
Saudi Arabia,812300,9272
Azerbaijan,806472,9777
Paraguay,712907,19357
Palestine,697447,5691
Bahrain,668499,1513
Sri Lanka,668497,16635
Kuwait,656393,2562
Dominican Republic,635461,4384
Myanmar,614510,19437
Estonia,595419,2642
Cyprus,571994,1149
Moldova,561196,11693
Venezuela,540796,5781
Egypt,515645,24786
Libya,506441,6436
Ethiopia,492874,7571
Honduras,449495,10958
Armenia,430361,8643
Qatar,421532,681
Oman,397574,4628
Bosnia and Herzegovina,392253,15971
Kenya,337985,5673
North Macedonia,336560,9429
Zambia,332264,4016
Botswana,325824,2774
Albania,323282,3574
Luxembourg,285145,1121
Montenegro,271241,2764
Algeria,269473,6878
Kosovo,268156,3186
Nigeria,262664,3147
Zimbabwe,256565,5588
Mauritius,251746,1019
Uzbekistan,243605,1637
Mozambique,229932,2219
Brunei,215283,225
Laos,212761,757
Kyrgyzstan,205198,2991
Iceland,203814,179
El Salvador,190818,4217
Afghanistan,189710,7759
Maldives,184689,307
Trinidad and Tobago,175856,4084
Uganda,169396,3628
Namibia,169253,4074
Ghana,168457,1459
Jamaica,148322,3230
Cambodia,137326,3056
Rwanda,132370,1466
Cameroon,120967,1933
Malta,113627,798
Angola,102636,1917
Barbados,98622,525
Democratic Republic of the Congo,92543,1393
Senegal,87835,1968
Malawi,87732,2673
Ivory Coast,86256,817
Suriname,81007,1382
French Polynesia,76252,649
Eswatini,73336,1419
New Caledonia,73116,314
Guyana,70703,1276
Fiji,67969,875
Belize,67891,680
Madagascar,66599,1410
Sudan,63147,4961
Mauritania,62724,992
Cabo Verde,62266,410
Bhutan,60779,21
Syria,56797,3160
Gabon,48592,306
Burundi,48548,38
Andorra,45975,154
Seychelles,45852,168
Curaçao,45243,285
Papua New Guinea,44843,663
Aruba,42638,227
Tanzania,38454,841
Togo,38330,281
Isle of Man,37794,115
Guinea,37470,447
Bahamas,36944,823
Faroe Islands,34658,28
Lesotho,34206,704
Haiti,32703,838
Mali,31249,739
Cayman Islands,29907,29
Saint Lucia,28379,388
Benin,27316,163
Somalia,27020,1361
Republic of the Congo,24837,386
Timor-Leste,23100,135
Solomon Islands,21544,153
Burkina Faso,21128,387
San Marino,20196,118
Gibraltar,20034,106
Grenada,19006,234
Liechtenstein,18961,86
South Sudan,17823,138
Tajikistan,17786,125
Bermuda,17674,148
Equatorial Guinea,16914,183
Djibouti,15690,189
Samoa,15405,29
Nicaragua,14899,244
Dominica,14852,68
Central African Republic,14803,113
Monaco,14299,61
Tonga,14135,12
Gambia,12238,368
Greenland,11971,21
Yemen,11903,2152
Vanuatu,11753,14
Caribbean Netherlands,11091,37
Eritrea,10143,103
Saint Vincent and the Grenadines,9405,115
Niger,9157,312
Antigua and Barbuda,8851,144
Guinea-Bissau,8482,174
Comoros,8374,161
Sierra Leone,7743,126
Liberia,7656,294
Chad,7458,193
Federated States of Micronesia,7196,21
British Virgin Islands,7131,63
Marshall Islands,6606,9
Saint Kitts and Nevis,6493,46
Turks and Caicos Islands,6351,36
Cook Islands,6265,1
Sao Tome and Principe,6123,76
Palau,5308,6
Anguilla,3746,10
Kiribati,3430,13
Saint Pierre and Miquelon,3131,1
Falkland Islands,1881,0
Montserrat,1106,8
Macau,793,6
Wallis and Futuna,761,7
Vatican City,29,0
"Saint Helena, Ascension and Tristan da Cunha",4,0
North Korea,1,6
